Hole_id,DDH7,,,Date Start  3/08/2018,,,,Date Finish  6/08/2018,,,,,
,,,,,,,,,,,,,
Hole_id,From,To,Wthr,Rock 1,Rock 2,Grain_size,Colour,CaCO3 %,Acid,Clay Type,Remarks,,
DDH7,0.00,7.00,,CO,,,,,,,,,
DDH7,7.00,8.23,w,CY,,f,gn,,2,p,,,
DDH7,8.23,9.75,sox,CY,,f,gngy,,1,p,,,
DDH7,9.75,10.05,w,CY,,b,gy,,2,,broken zone,,
DDH7,10.05,11.28,sox,CY,,f,gngy,,2,p,AS 8.23 - 9.75,,
DDH7,11.28,13.00,sox,CY,CC,f,gywh,30,3,,,,
DDH7,13.00,13.10,w,CY,,b,gy,,2,,broken zone,,
DDH7,13.10,17.37,sox,CY,CC,f,gywh,20,3,,broken and muddy in part,,
DDH7,17.37,19.60,sox,CY,,fm,gybr,,2,s,,,
DDH7,19.60,19.85,sox,CY,CC,b,gywh,30,3,,broken and muddy 19.60 - 19.85,,
DDH7,19.85,23.47,sox,CY,CC,f,gywhmot,30,2,p,,,
DDH7,23.47,25.00,sox,CY,,f,gybr,,1,p,,,
DDH7,25.00,26.50,sox,CY,CC,f,brwhmot,20,3,p,,,
DDH7,26.50,27.85,sox,CY,,fm,br,2,1,p,minor sandy,,
DDH7,27.85,29.75,sox,CC,,,wh,100,3,,,,
DDH7,29.75,30.60,sox,CC,CY,f,brwhmot,20,2,p,,,
DDH7,30.60,32.61,sox,CC,CY,,gr,40,3,,bright green conspicuous,,
DDH7,32.61,34.10,sox,CC,CY,m,gywh,50,3,,calcite veined zone,,
DDH7,34.10,34.63,sox,CY,,m,br,,2,s,,,
DDH7,34.63,39.00,sox,CC,CY,f,gywh,60,3,p,mottled in part,,
DDH7,39.00,41.00,sox,CY,CC,f,brgywh,5,2,p,mottled in part,,
DDH7,41.00,41.70,sox,CY,,f,gy,,1,p,,,
DDH7,41.70,48.45,sox,CY,CC,f,gywh,15,2,p,mottled in part,,
DDH7,48.45,49.95,sox,CC,,b,gywh,100,3,,cavernous,,
DDH7,49.95,53.54,sox,CY,,f,bygn,,2,p,,,
DDH7,53.54,56.60,sox,CY, ,f,gngy,,2,p,,,
DDH7,56.60,59.95,fr,CC,, ,gywhgn,100,3,,,,
DDH7,59.95,60.80,sox,CY,,f,gygn,,2,p,,,
DDH7,60.80,61.00,sox,CC,,b,gywh,80,3,,,,
DDH7,61.00,62.60,sox,CY,,f,grgn,,2,p,,,
DDH7,62.60,67.10,sox,T,,m,grgy,,1,,carbonate cemented acid tuff,,
DDH7,67.10,80.55,sox,T,,m,br,,0,,Acid Tuff,,
DDH7,80.55,84.43,fr,B,,m,dkgn,,0,,,,
DDH7,84.43,87.48,ox,B,,,rdbn,,0,,Oxidised basalt,,
,,EOH,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
