Hole_id,DHQ1,,,Date Start  22/06/2019,,,,Date Finish 24/06/2019,,,
,,,,,,,,,,,
Hole_id,From,To,Wthr,Rock 1,Rock 2,Grain_size,Colour,CaCO3 %,Acid,Clay Type,Remarks
DHQ1,0.00,9.00,,CO,,,,,,,surficial colluvium
DHQ1,9.00,11.25,w,CY,,f,gn,5-10,1,p-s,
DHQ1,11.25,15.85,w,CY,,fm,gngy-gy,30-40,2,p-s,
DHQ1,15.85,23.28,w,CY,,fm,gy-gngy,5-10,2,p-s,
DHQ1,23.28,24.00,w,CY,,,bn-gnbn,<5,1,p,
DHQ1,24.00,27.00,w,CY,CC/LS,,gywh,60-70,2,p,
DHQ1,27.00,27.88,w/sox,CY/T,TUFA,fm,wh-bn-gn,30-40,2,s,bn & wh banded tufa grading down into gn & wh & bn banded sandy CY tuff; marker bed
DHQ1,27.88,30.94,w,CY,,fm,gybn,15-20,2,s-p,
DHQ1,30.94,36.06,w,CY,,fm,gnbngy,10-15,2,p-s,
DHQ1,36.06,43.28,w,CY,,fm,gywh,40-50,2,p-s,
DHQ1,43.28,48.05,w,CY,,f,gnbngy,5,2,p-s,
DHQ1,48.05,50.25,w,CY,,fm,gngywh,40-50,3,p-s,
DHQ1,50.25,52.50,w,CY,,f,gn,5,3,p-s,
DHQ1,52.50,59.20,w,CY,CC/LS,f,gywh,70-80,3,p,
DHQ1,59.20,63.10,w,CY,,fm,gy-gngy,10-20,3,s,
DHQ1,63.10,64.80,sox,CC,CY,,whgy,80-90,3,,
DHQ1,64.80,65.31,w/sox,SS/T,,fc,gy-gygn,20-30,2,s,
DHQ1,65.31,92.05,w/sox,T/CY,CC/LS,fc,bnwh,50-60,3,s,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
