Hole ID,Easting,Northing,Elevation_meters
DHQ25,264803,3842646,630
DHQ26,264877,3842649,628
DDH5,265004,3842783,637
DHQ18,264690,3842545,623
DDH7,264618,3842396,619
DDH6,264508,3842247,615
DHQ1,264355,3842000,607
DDH2,263772,3844848,655
DDH3,264421,3843566,661
DDH4,264643,3843106,662
DDH6A,264508,3842248,615
DDH8,265202,3842041,645
DDH9,266297,3839895,662
DDH10,265607,3839607,641
DDH13,267014,3838538,600
DDH14,267791,3836943,625
DDH16,265975,3838653,596
DHQ2,264390,3842145,607
DHQ3,264495,3842176,613
DHQ4,264399,3842220,610
DHQ5,264597,3842247,615
DHQ6,264400,3842325,613
DHQ7,264465,3842326,616
DHQ8,264563,3842327,615
DHQ9,264705,3842350,620
DHQ10,264426,3842444,613
DHQ11,264501,3842450,614
DHQ12,264608,3842452,621
DHQ13,264692,3842475,621
DHQ14,264805,3842450,625
DHQ15,264403,3842571,615
DHQ16,264500,3842556,616
DHQ17,264585,3842553,619
DHQ19,264800,3842550,623
DHQ20,264900,3842580,624
DHQ21,264402,3842651,622
DHQ22,264509,3842644,622
DHQ23,264600,3842651,623
DHQ24,264704,3842650,625
DHQ27,264413,3842757,628
DHQ28,264490,3842748,623
DHQ29,264594,3842756,625
DHQ30,264700,3842750,624
DHQ31,264796,3842754,623
DHQ32A,264300,3842850,645
DHQ33,264407,3842853,638
DHQ34,264500,3842850,629
DHQ35,264568,3842873,628
DHQ36,264700,3842852,630
DHQ37,264802,3842848,634
