Hole_id,DHQ32A,,,Date Start  10/07/2019,,,,Date Finish 13/07/2019,,,
,,,,,,,,,,,
Hole_id,From,To,Wthr,Rock 1,Rock 2,Grain_size,Colour,CaCO3 %,Acid,Clay Type,Remarks
DHQ32A,0,7,,CO,,,,,,,surficial colluvium
DHQ32A,7,11.56,w,CY,,fm,gn-gnbn,5-10,3,p-s-c,
DHQ32A,11.56,36.05,w,CY,SLT,fm,bn,5-10,2,c-s,
DHQ32A,36.05,46.74,w,CY,SLT,fm,gn-gnbn,5,3,p-s-c,
DHQ32A,46.74,47.6,w,CY,,,gywh,30-40,3,p-s-c,
DHQ32A,47.6,48.94,w,CY,,,gn,5,3,p-c,
DHQ32A,48.94,59.02,w,CY,SLT,fm,gn-gnblu,5-10,3,c-s-p,
DHQ32A,59.02,60.67,w,CY,SLT,fm,bn,5,3,c-s,
DHQ32A,60.67,61.03,w,CY/T,TUFA,fm,bn-wh-gn,50,2,c-s,bn & wh banded tufa/LS grading down into gn & wh banded sandy CY tuff; marker bed
DHQ32A,61.03,69.54,w,CY,SLT,fm,bn,5,2,c-s,
DHQ32A,69.54,74,w,CY,,fm,gywh-bnwh,20-30,3,p-s,
DHQ32A,74,75.32,w,CY,CC,,whgy,20-30,3,p,
DHQ32A,75.32,76.81,w,CY,SLT,f,bn,5,2,p-s,
DHQ32A,76.81,80.05,w,CY,SLT,f,gn-gnbn,5-10,3,p-s,
DHQ32A,80.05,81.93,w,CY,CC,,whgy,20-30,3,p,
DHQ32A,81.93,84.88,w,CY,,fm,gywh-bnwh,20-30,3,p-s-c,
DHQ32A,84.88,92.44,sox,CC/LS,CY,fm,whgy,70-80,3,p-s,
DHQ32A,92.44,93.48,w,CY,CC/LS,fm,gywh,50-60,3,p,
DHQ32A,93.48,96.81,w,CY,,fm,gy-gygn,15-20,3,p-s,
DHQ32A,96.81,100.44,w/sox,CY/T,CC/LS,fm,bnwh,50-60,3,s,
DHQ32A,100.44,101.81,sox,CC/TUFA,CY,f,wh-gy-gn,70-80,3,p-s,
DHQ32A,101.81,106.4,w,CY,,f,gy-bn-gn,15-20,3,p-s,
DHQ32A,106.4,116.4,sox,CY/T,CC/LS,fc,bnwh,20-30,3,s,
