Hole_id,From,To,Wthr,Rock 1,Rock 2,Grain_size,Colour,CaCO3 %,Acid,Clay Type,Remarks
DDH10,0.0,72.24,fw,Conglom,,c,Varied,,,,"Polymictic conglomerate, mostly igneous. Well indurated. Occasional sandy, silty layers."
DDH10,72.24,81.38,fw,Granite,,f - c,,,,,Granitic pluton.
DDH13,0.0,6.71,w,CO,,,,,,,
DDH13,6.71,13.9,w,CY,,f,whgy,,,p,
DDH13,13.9,24.99,sox,T,,c,whrd,,,,Crystal tuff
DDH14,0.0,6.71,w,CO,,,,,,,
DDH14,6.71,11.27,w,CY,,f/m,br,,,s,sandy clay
DDH14,11.27,23.2,sox,T,,m/c,brrd,,,,Mixed CY and ash flow crystal tuff
DDH14,23.2,63.09,sox,T,,,brrd,,,,Ash flow crystal tuff
DDH16,0.0,35.66,w,CO,,,,,,,Low Recovery
DDH16,35.66,47.85,sox,CGL,,,,,,,Carbonate cemented Polymictic Conglomerate
DDH2,0.0,20.0,,CO,,,,,,,
DDH2,20.0,23.75,w,CY,CC,,br,,,,lower contact zone
DDH2,23.75,36.15,w,CY,,,br,,,,competent clays after crystal tuff
DDH2,36.15,36.5,w,CY,,,gybr,,,,competent clays after crystal tuff
DDH2,36.5,42.34,sox,CY,,,br,,,,competent clays after crystal tuff
DDH2,42.34,43.45,sox,CY,,,gnbr,,,,competent clays after crystal tuff
DDH2,43.45,44.08,sox,CY,T,,br,,,,crystal tuff
DDH2,44.08,44.7,sox,CY,T,,gn,,,,after crystal tuff
DDH2,44.7,46.8,sox,CY,,,gn,,,p,bright green 
DDH2,46.8,52.0,sox,CY,,,gnbr,,,p,
DDH2,52.0,60.1,sox,CY,,,br,,,c,sandy in part
DDH2,60.1,68.14,sox,CY,,,brgy,,,p,
DDH2,68.14,70.05,sox,CY,CC,,brgy,,,p,minor CC
DDH2,70.05,71.8,sox,CY,,,br,,,s,
DDH2,71.8,84.5,sox,CY,,,br,,,c,
DDH2,84.5,86.89,sox,CY,,c,br,,,s,sandy
DDH2,86.89,92.0,sox,GT,,m,br,,,,Medium Grit
DDH2,92.0,96.62,sox,GT,,c,br,,,,Coarse Grit
DDH3,0.0,9.75,,CO,,,,,,,
DDH3,9.75,15.0,w,CY,,fm,bn,5,1,s,Occasionally sandy.
DDH3,15.0,20.78,w,CY,T,f,gngy,10,1,,Moderately tuffaceous. Occasionally brown.
DDH3,20.78,23.47,w,CY,T,f,bnwh,5,1,,Brown clay with white tuff interbeds.
DDH3,23.47,25.24,fr,T,,f,gy,5,1,,
DDH3,25.24,30.5,fr,CY,,f,gn,20,2,p,Tuffaceous near top. More calcareious near bottom.
DDH3,30.5,34.21,fr,CY,,f,gy,70,3,,Numerous irregular CaCO3 masses (blebs). 7cm bed of coarse carbonate sandstone @ 34.14.
DDH3,34.21,35.73,fr,CY,,fm,bngy,30,2,s,Sandy
DDH3,35.73,36.87,fr,CY,,f,bn,15,1,,
DDH3,36.87,38.57,fr,CY,,f,gn,15,1,,
DDH3,38.57,47.43,fr,CY,,f,bngy,30,2,,Sandy @ 40.53 - 41.21.
DDH3,47.43,49.31,fr,CY,,f,gn,5,1,,
DDH3,49.31,54.75,fr,CY,,f,bn,40,2,,
DDH3,54.75,56.12,fr,CY,,f,gn,30,2,,
DDH3,56.12,58.23,fr,CC,CY,f,gywh,70,3,,Muddy calcrete.
DDH3,58.23,59.52,fr,CY,,f,bn,10,1,,Bright green silt @ 58.58 - 58.68.
DDH3,59.52,61.76,fr,CY,CC,f,bn,50,3,,Calcrete blebs in clay.
DDH3,61.76,64.5,fr,CY,CC,f,bn,40,2,,Scattered calcrete blebs.
DDH3,64.5,73.35,fr,CY,,f,bn,30,2,,Sandy @ 65.45 - 65.90.
DDH3,73.35,76.81,fr,CC,,f,wh,80,3,,Very poor recovery in lower part of interval.
DDH3,76.81,79.86,fr,CY,,f,bn,30,2,,
DDH3,79.86,80.81,fr,CC,,f,whbn,50,3,,Laminated. Less calcareous in some zones.
DDH3,80.81,85.54,fr,CY,,f,bn,30,2,,Fine - coarse grained sand @ 84.51 - 84.63.
DDH3,85.54,87.4,fr,CY,CC,f,bnwh,50,3,,Clay w/ numerous calcite blebs.
DDH3,87.4,89.09,fr,CY,,f,bn,30,2,,Dirty fine-grained sandstone @ 89.00 - 89.09
DDH3,89.09,90.1,fr,CY,CC,f,whbn,50,3,,Clay w/ several calcite blebs.
DDH3,90.1,93.96,fr,CY,,f,bn,30,2,,
DDH3,93.96,95.87,fr,Gyp,CY,f,whbn,70,3,,Pure white gypsum in upper part of interval; decreasing downward.
DDH3,95.87,102.59,fr,CY,CC,f,bn,20,1,,Occasional calcite blebs in upper part.
DDH3,102.59,104.35,fr,CC,CY,f,whbn,80,3,,Calcrete decreasing to muddy calcrete downward.
DDH3,104.35,105.77,fr,CY,CC,f,bnwh,50,2,,Brown clay with short intervals of muddy calcrete.
DDH3,105.77,107.29,,,,,,,,,No recovery.
DDH3,107.29,108.0,fr,CY,,f,bn,40,2,,Very poor recovery.
DDH3,108.0,108.81,fr,,,,,,,,Granite & basalt cobbles or boulders. Bottom of ancient basin(?).
DDH4,0.0,8.23,,CO,,,,,,,
DDH4,8.23,8.7,W,CY,,f,gn,,1,,
DDH4,8.7,10.11,W,CY,,f,bn,,1,,
DDH4,10.11,11.22,sox,CY,,f,gn,,1,,
DDH4,11.22,12.8,sox,CY,,f,bn,,1,,
DDH4,12.8,13.5,sox,CY,,f,gn,,1,,
DDH4,13.5,15.85,sox,CY,,f,bn,,1,,
DDH4,15.85,17.9,sox,CY,,f,gn,,1,,
DDH4,17.9,21.4,sox,CY,,f,gn,,2,p,
DDH4,21.4,25.8,sox,CY,,f,gy,,3,p,
DDH4,25.8,36.0,sox,CY,,f,gybrn,,3,,lost circulation and start of poor recovery 
DDH4,36.0,40.0,sox,CY,,f,bn,,2,,wash out/channel scour and fill w/ granite and basalt clasts
DDH4,40.0,41.3,sox,SS,,mc,bngy,,3,,unconsolidated sandy zone
DDH4,41.3,43.28,sox,T,,m,bngy,,2,,
DDH4,43.28,46.33,,,,,,,,,no recovery
DDH4,46.33,47.1,sox,T,,m,bn,10,2,,minor sand and clay
DDH4,47.1,47.7,sox,T,,m,gy,10,2,,becoming lt gy towards bottom of interval
